Taxonomic _group,Biomar_samples,Biomar_species,Poss_New_species,New_to_ACG,New_to_Costa_Rica,Total_species_ACG
Cyanophyta,11,5,3,4,4,8
Chlorophyta,45,19,1,15,4,19
Ochrophyta,37,23,6,17,10,25
Rhodophyta,137,62,5,59,9,74
Porifera,167,18,6,18,18,18
Cnidaria_Hydrozoa,53,13,1,3,2,NA
Cnidaria_Scleractinia,56,15,0,1,0,NA
Cnidaria_Octocorallia,20,16,3,2,3,NA
Cnidaria_Anthipatharia,2,2,1,1,1,NA
Cnidaria_Pennatulacea,1,1,1,1,0,NA
Mollusca,706,166,5,137,8,324
Annelida,536,70,10,46,10,73
Nemertea,25,5,5,5,5,6
Kinorhyncha,7,4,4,4,4,4
Gastrotrichia,9,9,4,9,9,9
Brachiopoda,1,1,0,1,0,1
Phoronida,1,1,0,1,0,1
Crustacea_Decapoda,2499,200,6,95,8,NA
Crustacea_Stomatopoda,151,9,1,4,1,NA
Echinodermata_Asteriodea,56,7,0,6,0,NA
Echinodermata_Ophiuroidea,159,13,1,13,1,NA
Echinodermata_Holothuroidea,192,26,3,11,3,NA
Echinodermata_Echinoidea,90,11,0,10,0,NA
Chordata_Urochordata,95,11,2,11,9,NA
Chordata_Elasmobranchii,27,14,0,14,1,NA
Chordata_Actinopterygii,2260,402,2,391,8,NA
Cnidaria_TOTAL,132,47,6,8,6,53
Crustacea_TOTAL,2650,209,6,99,9,292
Echinodermata_TOTAL,497,57,4,40,4,60
Chordata_TOTAL,2382,427,4,416,18,449